new	1893724620
first	1894372020
full	1895068680
last	1895682720
new	1896277440
first	1896955260
full	1897626360
last	1898216100
new	1898835720
first	1899535080
full	1900174260
last	1900749480
new	1901398080
first	1902105240
full	1902713940
last	1903286280
new	1903962240
first	1904662380
full	1905247740
last	1905829140
new	1906525320
first	1907206200
full	1907778960
last	1908379860
new	1909084860
first	1909739160
full	1910310840
last	1910939100
new	1911639540
first	1912265220
full	1912847220
last	1913505840
new	1914189060
first	1914789120
full	1915391580
last	1916077560
new	1916734380
first	1917316080
full	1917946560
last	1918650660
new	1919277480
first	1919850900
full	1920512460
last	1921220400
new	1921820040
first	1922397120
full	1923086460
last	1923782520
new	1924363380
first	1924956360
